time_s,SYN_A,SYN_M,SYN_B1,SYN_B2,SYN_B3
2461.19,0.0101054,0,0.0122645,0.00749104,0.0068029
2941.48,0.0689921,0,0,0,0.000658279
3421.77,0.890142,0,0,0,0.00522906
3902.05,2.81614,0,0.0105599,0.0152056,0
4382.34,2.28331,0.0155245,0,0,0
4862.62,0.782253,0.059763,0,0.00130479,0.000879776
5342.91,0.0630983,0.560179,0,0,0.00546185
5823.2,0.0035439,2.35363,0.603496,0,0
6303.48,0.0127673,3.16455,1.40663,0.032844,0.0131106
6783.77,0.010999,3.5451,0.953434,0.0669356,0
7264.05,0,2.6322,0.710236,0.126388,0.00830872
7744.34,0,2.41855,0.407823,0.236458,0.0030374
8224.63,0.00104453,1.86201,0.177936,0.347643,0
8704.91,0.00913569,1.25091,0.0207253,0.474159,0.00890458
9185.2,0,0.685687,0,0.694241,0.0380073
9665.48,0.0109229,0.237726,0,0.743578,0.112343
10145.8,0.00299269,0.0402279,0,0.315426,0.262356
10626.1,0.0160665,0,0,0.0421484,0.486553
11106.3,0,0,0,0,0.434128
11586.6,0.00165645,0,0,0.0112906,0.0592694
12066.9,0,0,0,0,0
