time_s,SYN_A,SYN_M,SYN_B1,SYN_B2,SYN_B3
1235.12,0.0256018,0.00162227,0.00153407,0.0108761,0.00383775
1819,1.00337,0,0,0.000828796,0.00887912
2402.88,3.90914,0.0104086,0.000516291,0,0
2986.76,2.31568,0.0983651,0,0.016777,0.00535572
3570.63,0.370091,0.721791,0,0,0.00427306
4154.51,0.00971279,2.50816,0.633282,0,0
4738.39,0.0033385,3.48717,1.11126,0.0472221,0.0342834
5322.26,0.00219198,3.04439,0.950283,0.0975361,0.0112642
5906.14,0.00964345,2.87501,0.708087,0.125884,0.00738338
6490.02,0.00297433,2.51701,0.50059,0.203326,0
7073.89,0.00483484,1.93311,0.294892,0.257331,0.0168543
7657.77,0,1.55679,0.175582,0.341012,0.0214546
8241.65,0.00360914,1.0269,0.0733003,0.450072,0.0255481
8825.53,0,0.615649,0.0137968,0.481429,0.0510211
9409.4,0.0010135,0.269293,0.0190872,0.522137,0.0915563
9993.28,0.00299714,0.0404629,0,0.529643,0.215903
10577.2,0,0.00605959,0,0.151463,0.317894
11161,0,0,0,0.00104936,0.410783
11744.9,0,0.00156437,0,0,0.33066
12328.8,0.0077205,0.0152665,0.00270809,0.000756581,0.0357756
12912.7,0.00305858,0,0,0.00393961,0.0170849
